Unnamed: 0,headline,url,publisher,date,stock,sentiment
76869,"How Cannabis Company Cannaphyll Is Marketing On Mass-Consumer Platforms, Google And Amazon",https://www.benzinga.com/markets/cannabis/20/06/16224494/how-cannabis-company-cannaphyll-is-marketing-on-mass-consumer-platforms-google-and-amazon,Jaycee Tenn,2020-06-10,AMZN,0.0
76870,Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,https://www.benzinga.com/government/20/06/16223418/tech-stocks-and-faangs-strong-again-to-start-day-as-market-awaits-fed,JJ Kinahan,2020-06-10,AMZN,0.43333333333333335
76871,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW",https://www.benzinga.com/short-sellers/20/06/16220099/benzinga-pros-top-5-stocks-to-watch-for-wed-jun-10-2020-aapl-bac-nio-sono-glw,Benzinga Newsdesk,2020-06-10,AMZN,0.5
76872,"Hearing Vertical Group Out Positive On Amazon, Saying Co.'s Ad Spend Revenues Are Increasing As Shipping Bottleneck Issues Begin To Abate",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16219876/hearing-vertical-group-out-positive-on-amazon-saying-co-s-ad-spend-revenues-are-inc,Benzinga Newsdesk,2020-06-10,AMZN,0.22727272727272727
76873,Big Tech Reaches New Record Heights At The Stock Market,https://www.benzinga.com/news/20/06/16218615/big-tech-reaches-new-record-heights-at-the-stock-market,Neer Varshney,2020-06-10,AMZN,0.06818181818181818
76874,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",https://www.benzinga.com/news/20/06/16218441/twitter-square-will-mark-juneteenth-as-holiday-to-honor-african-american-culture,Shivdeep Dhaliwal,2020-06-10,AMZN,0.0
76875,'Inside Amazon's plan to test warehouse workers for Covid-19 every two weeks' -Earlier CNBC Report,https://www.benzinga.com/news/20/06/16215412/inside-amazons-plan-to-test-warehouse-workers-for-covid-19-every-two-weeks-earlier-cnbc-report,Benzinga Newsdesk,2020-06-09,AMZN,0.0
76876,"BofA Raises Amazon Target On Sales Upside, Accelerating Unit Growth",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16212756/bofa-raises-amazon-target-on-sales-upside-accelerating-unit-growth,Priya Nigam,2020-06-09,AMZN,0.0
76877,Amazon shares are trading higher despite market weakness. Not currently seeing company-specific news.,https://www.benzinga.com/wiim/20/06/16213978/amazon-shares-are-trading-higher-despite-market-weakness-not-currently-seeing-company-specific-news,Benzinga Newsdesk,2020-06-09,AMZN,0.125
76878,"IRS Alerts Against Criminals Profiteering From Fake Coronavirus Treatments, Charities, Phishing, Other Financial Fraud",https://www.benzinga.com/government/20/06/16209057/irs-alerts-against-criminals-profiteering-from-fake-coronavirus-treatments-charities-phishing-other,Neer Varshney,2020-06-09,AMZN,-0.20833333333333334
