Unnamed: 0,headline,url,publisher,date,stock,sentiment
568379,"Facebook, Snap Analyst Projects Q2 Revenue Upside For Social Media Stocks",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16223516/facebook-snap-analyst-projects-q2-revenue-upside-for-social-media-stocks,Shanthi Rexaline,2020-06-10,GOOG,0.03333333333333333
568380,"How Cannabis Company Cannaphyll Is Marketing On Mass-Consumer Platforms, Google And Amazon",https://www.benzinga.com/markets/cannabis/20/06/16224494/how-cannabis-company-cannaphyll-is-marketing-on-mass-consumer-platforms-google-and-amazon,Jaycee Tenn,2020-06-10,GOOG,0.0
568381,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",https://www.benzinga.com/news/20/06/16218441/twitter-square-will-mark-juneteenth-as-holiday-to-honor-african-american-culture,Shivdeep Dhaliwal,2020-06-10,GOOG,0.0
568382,Price Over Earnings Overview: Alphabet,https://www.benzinga.com/intraday-update/20/06/16215314/price-over-earnings-overview-alphabet,Benzinga Insights,2020-06-09,GOOG,0.0
568383,"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers",https://www.benzinga.com/news/20/06/16208274/google-maps-to-offer-relevant-local-covid-19-information-for-public-transport-driving-and-testing-ce,Shivdeep Dhaliwal,2020-06-09,GOOG,0.13333333333333333
568384,"Starting This Week, Testing Center Alerts Will Be Available On Google Maps In U.S.; New Google Maps Features Alert You Of Important COVID-19 Information And Help User Avoid Crowds On Public Transit",https://www.benzinga.com/news/20/06/16202989/starting-this-week-testing-center-alerts-will-be-available-on-google-maps-in-u-s-new-google-maps-fea,Benzinga Newsdesk,2020-06-08,GOOG,0.1393939393939394
568385,CNBC Publishes Article Titled: States are Leaning Toward a Push to Break Up Google's Ad Tech Business,https://www.benzinga.com/news/20/06/16192444/cnbc-publishes-article-titled-states-are-leaning-toward-a-push-to-break-up-googles-ad-tech-business,Luke J Jacobi,2020-06-05,GOOG,0.0
568386,Congress Is Stepping Up Its Efforts To Kill Payday Loans,https://www.benzinga.com/fintech/20/06/15947207/congress-is-stepping-up-its-efforts-to-kill-payday-loans,Spencer Israel,2020-06-05,GOOG,0.0
568387,Twitter Takes Down Trump Campaign's Video Tribute To George Floyd For Violating Copyright,https://www.benzinga.com/news/20/06/16186967/twitter-takes-down-trump-campaigns-video-tribute-to-george-floyd-for-violating-copyright,Neer Varshney,2020-06-05,GOOG,-0.15555555555555556
568388,UPDATE: Chinese Government-Linked Hackers Recently Attempted To Break Into Presidential Candidate Joe Biden,https://www.benzinga.com/news/20/06/16182477/update-chinese-government-linked-hackers-recently-attempted-to-break-into-presidential-candidate-joe,Benzinga Newsdesk,2020-06-04,GOOG,0.0
